x_tm35fin,y_tm35fin,ground_z,height_m,top_z,species
365563.926,6689623.086,81.37,28.71,110.08,pine
365411.759,6689791.458,67.61,27.36,94.96,spruce
365325.204,6689605.735,73.94,25.27,99.21,pine
365529.954,6689716.519,89.26,36.00,125.26,spruce
365210.619,6689429.202,78.84,20.44,99.27,birch
365580.642,6689687.445,85.81,36.00,121.81,spruce
365397.658,6689599.993,83.09,23.55,106.64,birch
365525.023,6689701.879,88.75,20.70,109.44,birch
365342.004,6689631.314,69.23,20.70,89.93,birch
365306.877,6689573.093,79.85,30.00,109.85,pine
365238.032,6689729.249,63.47,19.13,82.61,pine
365384.294,6689788.086,62.40,36.00,98.40,spruce
365508.141,6689782.743,80.65,17.06,97.71,pine
365421.110,6689678.347,71.54,24.37,95.91,pine
365475.267,6689593.874,84.07,22.00,106.06,pine
365309.272,6689649.660,62.19,26.58,88.78,pine
365235.509,6689675.573,66.93,31.59,98.52,spruce
365218.272,6689477.626,79.90,36.00,115.90,spruce
365356.758,6689506.017,93.93,26.07,120.00,spruce
365557.107,6689465.881,72.82,25.84,98.67,pine
365251.425,6689609.013,74.78,19.47,94.25,pine
365504.552,6689540.055,79.10,30.00,109.10,pine
365470.821,6689481.193,82.75,14.29,97.04,pine
365421.808,6689791.055,68.13,16.23,84.36,spruce
365584.889,6689578.770,76.23,28.75,104.98,spruce
365229.110,6689788.810,69.40,30.00,99.40,pine
365292.029,6689483.304,87.26,36.00,123.26,spruce
365382.179,6689722.048,60.42,35.95,96.37,spruce
365401.079,6689502.007,92.99,31.05,124.04,spruce
365556.062,6689756.489,93.29,23.83,117.11,birch
365243.851,6689432.712,84.71,28.00,112.71,birch
365280.811,6689797.624,60.44,22.25,82.70,pine
365591.863,6689604.678,79.97,36.00,115.97,spruce
365514.365,6689435.601,78.52,36.00,114.52,spruce
365493.808,6689568.552,79.81,35.51,115.32,spruce
365463.995,6689779.024,71.51,25.89,97.39,birch
365475.527,6689560.000,82.21,36.00,118.21,spruce
365402.140,6689743.494,63.79,23.76,87.54,spruce
365235.702,6689549.784,80.41,19.09,99.50,pine
365401.894,6689663.274,70.73,22.20,92.93,birch
365324.687,6689408.239,98.47,36.00,134.47,spruce
365488.173,6689405.588,80.04,19.59,99.63,pine
365363.245,6689610.165,75.74,17.63,93.38,pine
365442.712,6689456.738,85.85,27.02,112.88,spruce
365407.484,6689747.379,65.52,34.11,99.63,spruce
365597.180,6689542.931,74.72,36.00,110.72,spruce
365446.551,6689778.563,70.91,23.48,94.38,birch
365223.677,6689717.695,66.72,16.78,83.50,birch
365246.332,6689550.293,80.15,30.00,110.15,pine
365346.017,6689629.463,69.70,26.91,96.61,pine
365474.427,6689667.142,84.96,30.00,114.96,pine
365236.367,6689643.937,72.78,30.00,102.78,pine
365352.060,6689460.031,98.08,26.66,124.74,spruce
365349.781,6689631.622,69.70,30.00,99.70,pine
365479.995,6689501.668,81.28,23.81,105.08,pine
365271.527,6689659.707,63.19,22.02,85.21,birch
365476.601,6689412.059,82.39,21.03,103.42,birch
365381.630,6689404.433,90.65,29.62,120.27,spruce
365247.042,6689466.210,83.87,29.29,113.16,spruce
365403.880,6689489.689,92.61,27.21,119.83,pine
365346.829,6689616.958,72.04,36.00,108.04,spruce
365490.157,6689444.461,79.19,24.76,103.95,pine
365459.426,6689734.606,72.86,35.71,108.57,spruce
365328.898,6689572.341,79.36,24.55,103.91,pine
365398.056,6689735.731,63.35,17.51,80.86,pine
365488.491,6689432.497,81.04,22.75,103.79,pine
365204.151,6689484.941,79.07,36.00,115.07,spruce
365382.126,6689567.489,86.55,33.65,120.20,spruce
365449.050,6689740.145,71.57,36.00,107.57,spruce
365441.154,6689453.240,85.37,18.67,104.05,birch
365276.642,6689634.751,68.50,18.29,86.80,pine
365324.457,6689777.482,54.48,27.33,81.81,spruce
365582.940,6689418.508,71.36,28.57,99.94,pine
365306.815,6689656.142,61.31,31.82,93.13,spruce
365369.820,6689559.730,86.07,20.31,106.37,pine
365464.822,6689731.812,73.80,28.00,101.80,birch
365340.972,6689609.732,73.66,27.13,100.79,pine
365242.705,6689717.435,60.22,28.00,88.22,birch
365550.399,6689549.765,76.90,25.46,102.36,spruce
365270.795,6689591.918,75.77,26.48,102.25,spruce
365255.090,6689775.919,61.06,30.00,91.06,pine
365261.612,6689463.516,84.08,27.00,111.08,spruce
365338.408,6689609.819,73.48,27.51,100.99,birch
365462.239,6689570.819,85.99,26.84,112.82,birch
365240.421,6689575.064,76.65,19.94,96.59,birch
365515.217,6689526.026,79.04,21.96,100.99,spruce
365531.159,6689509.314,77.55,27.02,104.58,birch
365596.271,6689469.921,71.51,19.02,90.53,pine
365321.136,6689483.609,94.05,22.93,116.98,birch
365403.535,6689625.947,78.33,29.44,107.77,pine
365291.421,6689572.437,77.44,24.76,102.21,spruce
365373.456,6689727.009,57.37,34.71,92.08,spruce
365334.972,6689510.524,92.51,17.67,110.17,pine
365469.549,6689722.468,76.70,24.05,100.75,birch
365589.471,6689699.374,85.72,28.07,113.79,pine
365378.138,6689629.194,73.18,27.78,100.96,spruce
365225.823,6689720.207,65.98,30.00,95.98,pine
365561.803,6689466.506,71.90,36.00,107.90,spruce
365274.476,6689497.436,84.50,19.98,104.48,pine
365594.638,6689577.973,76.09,35.19,111.28,spruce
365308.356,6689611.492,73.02,17.21,90.22,pine
365553.485,6689782.314,91.95,24.45,116.40,pine
365562.282,6689547.211,75.31,30.00,105.31,pine
365589.781,6689633.701,81.73,36.00,117.73,spruce
365485.276,6689618.992,83.32,25.95,109.27,spruce
365278.440,6689555.673,80.62,24.42,105.04,birch
365336.062,6689641.375,67.68,32.87,100.54,spruce
365302.457,6689635.739,66.60,27.17,93.77,spruce
365210.161,6689413.867,79.28,22.30,101.57,spruce
365209.362,6689471.984,78.06,30.00,108.06,pine
365414.749,6689573.375,90.43,23.43,113.87,spruce
365561.830,6689702.604,88.51,25.98,114.49,birch
365559.165,6689477.273,73.88,24.63,98.50,spruce
365220.389,6689608.263,76.36,30.00,106.36,pine
365553.067,6689409.442,73.51,18.02,91.53,birch
365487.154,6689558.510,81.94,17.44,99.39,birch
365493.039,6689739.255,81.62,28.00,109.62,birch
365516.052,6689520.341,77.83,24.84,102.67,pine
365323.472,6689630.141,68.53,28.00,96.53,birch
365374.138,6689423.621,93.25,30.42,123.67,spruce
365227.946,6689424.992,82.79,36.00,118.79,spruce
365558.426,6689460.351,72.73,21.03,93.76,birch
365267.304,6689557.336,78.53,19.48,98.01,pine
365266.194,6689610.933,74.15,18.67,92.82,pine
365306.858,6689428.697,97.13,32.40,129.53,spruce
365255.180,6689754.580,59.28,28.27,87.56,pine
365575.307,6689468.628,71.92,27.25,99.17,spruce
365548.138,6689649.445,82.49,28.00,110.49,birch
365435.516,6689724.689,71.04,36.00,107.04,spruce
365292.500,6689418.890,97.48,24.34,121.82,pine
365332.368,6689565.371,81.16,31.58,112.75,spruce
365225.700,6689512.554,79.91,32.06,111.96,spruce
365292.837,6689467.046,91.80,19.85,111.65,pine
365291.868,6689470.259,91.05,28.14,119.19,pine
365574.419,6689724.072,89.16,30.00,119.16,pine
365310.143,6689543.202,82.78,30.00,112.78,pine
365384.420,6689636.207,73.64,25.67,99.31,pine
365478.590,6689673.365,84.65,22.32,106.97,spruce
365546.778,6689587.386,78.27,22.69,100.96,birch
365530.897,6689525.727,76.56,22.39,98.95,spruce
365238.546,6689517.616,81.21,24.14,105.35,pine
365299.557,6689597.418,75.38,21.48,96.86,pine
365527.959,6689742.125,89.17,30.00,119.17,pine
365595.656,6689543.462,74.88,31.08,105.96,spruce
365296.951,6689575.111,77.75,24.55,102.30,pine
365595.373,6689664.167,82.35,30.00,112.35,pine
365207.172,6689459.642,78.10,28.01,106.11,pine
365277.475,6689632.494,68.94,36.00,104.94,spruce
365536.020,6689472.746,76.64,22.94,99.58,spruce
365215.063,6689621.892,77.29,16.06,93.35,pine
365375.850,6689683.367,62.50,24.77,87.27,pine
365563.068,6689549.753,75.00,36.00,111.00,spruce
365249.128,6689465.620,83.79,36.00,119.79,spruce
365229.831,6689548.693,79.66,36.00,115.66,spruce
365282.023,6689797.921,60.20,29.86,90.06,spruce
365491.353,6689621.581,82.79,22.70,105.49,spruce
365261.275,6689610.111,74.38,30.00,104.38,pine
365507.044,6689560.566,78.47,25.23,103.71,pine
365315.688,6689661.566,60.65,30.00,90.65,pine
365592.302,6689650.451,82.88,30.00,112.88,pine
365478.133,6689543.402,81.44,30.00,111.44,pine
365313.065,6689606.118,73.09,22.26,95.35,pine
365548.296,6689551.833,77.45,16.99,94.43,pine
365359.631,6689790.837,61.33,28.30,89.64,spruce
365474.876,6689623.822,85.99,21.61,107.61,spruce
365399.965,6689618.461,78.77,29.67,108.43,pine
365269.586,6689670.826,60.62,30.00,90.62,pine
365569.715,6689403.972,72.67,28.00,100.67,birch
365513.170,6689438.212,79.12,36.00,115.12,spruce
365413.559,6689463.050,88.02,23.06,111.08,pine
365346.857,6689510.881,93.57,29.23,122.80,spruce
365388.515,6689532.080,91.60,31.35,122.95,spruce
365423.099,6689453.073,88.00,21.35,109.35,pine
365437.251,6689746.172,68.34,21.02,89.36,pine
365585.188,6689699.577,85.82,22.23,108.05,pine
365337.636,6689591.635,78.03,22.55,100.58,spruce
365586.629,6689623.282,79.12,30.00,109.12,pine
365494.544,6689561.944,80.59,36.00,116.59,spruce
365464.854,6689784.123,72.51,28.00,100.51,birch
365286.652,6689555.235,81.81,25.53,107.34,birch
365362.415,6689416.597,93.68,24.08,117.77,birch
365550.533,6689639.762,81.50,21.98,103.48,pine
365416.362,6689436.803,89.24,19.88,109.12,pine
365249.815,6689758.187,60.47,28.30,88.76,pine
365309.701,6689779.305,53.84,29.06,82.90,spruce
365486.586,6689568.339,80.57,19.19,99.75,pine
365591.831,6689478.262,71.05,35.05,106.10,spruce
365242.671,6689669.299,65.22,23.28,88.50,spruce
365220.617,6689752.079,69.40,28.00,97.40,birch
365211.153,6689428.172,78.74,27.90,106.64,pine
365280.533,6689544.088,81.29,35.77,117.06,spruce
365309.259,6689528.271,85.86,25.79,111.64,pine
365457.381,6689489.137,84.58,18.51,103.10,pine
365508.281,6689487.867,79.66,36.00,115.66,spruce
365398.800,6689477.193,92.50,28.00,120.50,birch
365244.484,6689763.472,62.84,30.00,92.84,pine
365552.562,6689466.066,74.04,18.21,92.25,pine
365383.679,6689668.140,65.51,30.00,95.51,pine
365489.279,6689568.906,80.13,30.56,110.70,spruce
365413.454,6689558.466,89.25,22.20,111.45,spruce
365337.272,6689622.001,69.59,36.00,105.59,spruce
365218.277,6689505.539,78.48,31.63,110.11,spruce
365527.252,6689651.877,83.66,28.00,111.66,birch
365519.180,6689512.021,76.52,36.00,112.52,spruce
365224.839,6689605.356,76.39,20.33,96.72,pine
365229.214,6689552.982,79.61,30.00,109.61,pine
365360.761,6689639.758,67.57,24.01,91.58,birch
365236.359,6689532.714,78.41,21.20,99.61,birch
365345.359,6689664.246,60.26,19.46,79.71,birch
365212.728,6689487.817,80.65,32.24,112.89,spruce
365592.961,6689423.476,70.99,17.57,88.56,spruce
365489.843,6689752.701,77.67,23.03,100.70,pine
365453.148,6689781.318,70.93,29.16,100.09,spruce
365373.808,6689665.038,65.80,36.00,101.80,spruce
365229.498,6689732.730,65.59,23.78,89.37,pine
365562.446,6689594.975,77.10,16.16,93.25,spruce
365389.624,6689647.006,72.51,27.85,100.36,spruce
365310.426,6689603.593,73.15,36.00,109.15,spruce
365515.407,6689558.338,77.24,32.25,109.49,spruce
365441.746,6689429.668,86.52,26.58,113.10,spruce
365574.131,6689433.614,71.54,23.74,95.28,pine
365547.930,6689707.637,88.07,25.44,113.51,spruce
365531.167,6689407.670,75.61,23.13,98.74,pine
365245.712,6689662.940,65.77,25.22,90.99,pine
365416.543,6689708.468,69.10,17.99,87.08,pine
365300.287,6689624.046,69.80,27.99,97.79,birch
365554.777,6689674.628,84.51,36.00,120.51,spruce
365365.608,6689700.613,58.56,36.00,94.56,spruce
365299.631,6689406.500,97.89,16.68,114.57,birch
365550.470,6689581.446,77.71,31.12,108.83,spruce
365219.391,6689449.288,81.09,19.84,100.93,pine
365487.506,6689738.614,80.44,23.85,104.29,birch
365539.891,6689461.874,76.59,36.00,112.59,spruce
365583.363,6689471.424,72.42,30.00,102.42,pine
365466.177,6689683.881,79.88,17.88,97.76,birch
365302.507,6689650.243,62.54,24.29,86.84,pine
365226.110,6689595.020,77.18,17.30,94.48,pine
365203.986,6689422.417,78.07,33.34,111.40,spruce
365358.689,6689758.227,56.69,23.82,80.51,pine
365219.333,6689405.453,82.39,33.92,116.31,spruce
365543.828,6689487.073,74.12,34.84,108.96,spruce
365552.210,6689542.134,76.34,36.00,112.34,spruce
365239.169,6689686.339,65.80,30.00,95.80,pine
365213.517,6689599.852,75.70,26.51,102.21,spruce
365388.285,6689760.874,61.26,36.00,97.26,spruce
365492.575,6689417.437,81.62,27.76,109.38,spruce
365266.262,6689538.199,81.84,20.45,102.30,spruce
365382.615,6689417.845,92.96,30.50,123.46,spruce
365543.119,6689585.902,78.02,28.87,106.89,pine
365563.500,6689413.111,71.91,28.00,99.91,birch
365425.150,6689716.866,68.72,20.57,89.29,pine
365222.560,6689778.923,69.95,20.91,90.86,birch
365369.753,6689638.996,69.20,26.10,95.30,pine
365439.170,6689448.372,84.77,36.00,120.77,spruce
365505.838,6689405.104,79.56,28.00,107.56,birch
365534.864,6689551.650,78.56,22.05,100.62,spruce
365414.637,6689464.248,87.81,30.07,117.88,spruce
365203.203,6689491.685,78.79,20.19,98.98,spruce
365236.853,6689674.019,66.51,28.00,94.51,birch
365555.772,6689713.055,89.59,27.29,116.88,pine
365335.418,6689769.772,55.20,36.00,91.20,spruce
365227.378,6689682.455,68.34,21.32,89.65,pine
365542.348,6689504.823,76.89,28.00,104.89,birch
365552.206,6689411.993,73.56,34.32,107.88,spruce
365511.302,6689449.389,79.32,25.28,104.60,birch
365527.547,6689581.625,78.41,21.90,100.31,birch
365216.671,6689551.776,77.27,36.00,113.27,spruce
365586.307,6689468.317,72.63,29.35,101.98,spruce
365202.459,6689639.904,75.62,24.73,100.34,pine
365321.508,6689591.908,75.91,21.32,97.23,pine
365561.744,6689436.662,73.47,30.00,103.47,pine
365466.784,6689747.933,75.57,30.00,105.57,pine
365227.465,6689741.106,65.86,36.00,101.86,spruce
365517.120,6689419.863,76.32,36.00,112.32,spruce
365264.701,6689445.880,88.95,36.00,124.95,spruce
365434.212,6689755.809,67.64,30.00,97.64,pine
365273.218,6689671.259,59.53,25.40,84.92,spruce
365523.755,6689463.162,76.51,21.91,98.41,pine
365284.738,6689652.465,63.11,19.72,82.83,pine
365257.043,6689531.882,82.07,19.27,101.33,spruce
365243.061,6689429.298,85.34,29.58,114.92,pine
365579.692,6689464.311,72.20,36.00,108.20,spruce
365419.169,6689637.007,77.91,36.00,113.91,spruce
365592.270,6689406.739,68.76,31.89,100.64,spruce
365409.155,6689445.259,90.82,36.00,126.82,spruce
365562.113,6689518.963,74.57,36.00,110.57,spruce
365435.206,6689687.653,74.94,28.20,103.14,pine
365546.306,6689661.532,82.55,36.00,118.55,spruce
365303.844,6689797.043,59.72,36.00,95.72,spruce
365529.108,6689566.293,77.88,28.06,105.94,pine
365212.572,6689460.958,78.27,20.10,98.38,spruce
365202.806,6689731.209,72.25,29.48,101.74,spruce
365426.849,6689550.258,89.74,28.00,117.74,birch
365514.228,6689566.036,78.93,26.26,105.18,spruce
365251.375,6689562.408,78.89,36.00,114.89,spruce
365241.091,6689560.066,79.77,28.00,107.77,birch
365359.154,6689409.986,94.84,23.09,117.93,pine
365307.709,6689454.803,95.22,26.36,121.58,spruce
365553.766,6689481.439,74.61,30.45,105.06,spruce
365574.630,6689571.255,77.38,24.20,101.58,spruce
365586.687,6689551.199,76.87,34.32,111.18,spruce
365277.170,6689460.046,88.67,27.18,115.85,birch
365206.966,6689632.708,75.68,36.00,111.68,spruce
365537.942,6689717.211,89.46,23.06,112.52,spruce
365348.599,6689420.434,97.39,36.00,133.39,spruce
365542.905,6689569.500,76.78,28.00,104.78,birch
365532.632,6689425.205,76.75,21.82,98.57,birch
365555.428,6689672.166,84.44,20.58,105.02,pine
365343.131,6689649.410,65.34,20.89,86.23,pine
365591.177,6689646.944,83.22,30.00,113.22,pine
365216.923,6689588.790,77.15,35.44,112.59,spruce
365286.632,6689470.934,90.03,18.71,108.74,pine
365415.274,6689712.707,68.28,24.76,93.04,spruce
365222.922,6689477.025,80.27,31.81,112.08,spruce
365510.156,6689514.075,77.27,22.61,99.89,birch
365556.301,6689673.657,84.46,17.87,102.33,pine
365343.736,6689507.866,94.05,36.00,130.05,spruce
365368.876,6689629.191,72.40,19.52,91.92,pine
365306.042,6689582.483,78.11,19.05,97.16,birch
365513.261,6689547.405,77.49,30.00,107.49,pine
365510.964,6689511.422,76.95,20.28,97.24,pine
365518.509,6689552.323,76.90,29.76,106.66,spruce
365510.076,6689791.758,81.78,24.14,105.92,pine
365420.674,6689646.726,76.50,24.08,100.57,pine
365205.862,6689671.295,74.24,25.39,99.63,pine
365422.446,6689744.684,67.44,34.32,101.76,spruce
365232.994,6689474.543,81.78,25.28,107.06,pine
365354.763,6689784.167,58.72,25.30,84.02,spruce
365394.955,6689615.331,77.95,29.31,107.26,pine
365420.865,6689651.939,76.17,24.70,100.88,spruce
365349.648,6689671.552,59.93,24.75,84.68,pine
365256.475,6689614.844,74.48,20.85,95.33,pine
365400.676,6689413.226,89.82,22.02,111.84,pine
365303.629,6689497.226,88.40,28.00,116.40,birch
365321.252,6689527.660,86.79,17.96,104.75,pine
365398.957,6689464.659,92.28,15.80,108.08,birch
365258.389,6689683.066,58.57,18.04,76.61,pine
365524.316,6689787.523,84.79,36.00,120.79,spruce
365404.436,6689461.768,90.32,36.00,126.32,spruce
365550.168,6689536.410,75.98,25.95,101.94,pine
365565.627,6689466.023,71.48,23.23,94.71,birch
365335.190,6689663.524,58.76,25.10,83.86,pine
365205.924,6689491.134,79.43,24.93,104.36,birch
365588.404,6689441.680,68.97,24.26,93.22,pine
365591.945,6689676.159,84.55,16.46,101.01,pine
365281.225,6689567.572,78.65,22.20,100.85,pine
365469.574,6689711.393,79.55,23.04,102.59,pine
365432.594,6689517.867,88.29,28.00,116.29,birch
365244.294,6689797.172,66.59,36.00,102.59,spruce
365262.517,6689472.305,84.02,36.00,120.02,spruce
365228.753,6689434.959,81.86,36.00,117.86,spruce
365370.773,6689673.413,63.47,36.00,99.47,spruce
365591.572,6689630.838,80.98,36.00,116.98,spruce
365349.726,6689644.062,66.94,28.00,94.94,birch
365296.840,6689535.684,82.22,27.47,109.69,spruce
365515.458,6689574.444,80.32,27.36,107.68,pine
365357.854,6689589.101,78.83,36.00,114.83,spruce
365319.139,6689596.973,74.38,36.00,110.38,spruce
365332.936,6689496.765,92.84,25.63,118.46,birch
365504.699,6689478.875,79.07,36.00,115.07,spruce
365361.330,6689631.751,70.57,36.00,106.57,spruce
365351.654,6689548.937,86.24,20.43,106.67,pine
365226.192,6689431.042,81.85,28.00,109.85,birch
365520.942,6689783.178,83.95,26.69,110.63,pine
365556.213,6689429.047,72.83,27.47,100.30,pine
365429.828,6689685.326,73.45,23.40,96.85,pine
365511.365,6689423.457,76.95,23.48,100.43,pine
365497.763,6689553.234,80.28,29.50,109.78,pine
365500.222,6689431.446,79.67,36.00,115.67,spruce
365202.947,6689686.221,72.98,28.00,100.98,birch
365552.532,6689419.559,73.45,28.00,101.45,birch
365457.427,6689403.143,85.39,30.85,116.24,spruce
365248.754,6689490.278,82.10,30.00,112.10,pine
365314.358,6689782.097,54.86,17.56,72.42,pine
365552.700,6689439.045,73.85,23.86,97.70,birch
365556.389,6689650.419,81.76,18.51,100.27,pine
365246.437,6689430.455,85.55,28.00,113.55,birch
365489.776,6689449.333,79.59,30.00,109.59,pine
365435.676,6689470.494,87.43,28.00,115.43,birch
